zone,latitude,longitude
SoHo,40.7245908,-74.0019174
Soundview/Bruckner,40.8247566,-73.8710929
Soundview/Castle Hill,40.8176831,-73.8507279
South Beach/Dongan Hills,40.5903825,-74.0668076
South Jamaica,40.6808594,-73.7919103
South Ozone Park,40.6764003,-73.8124984
South Williamsburg,40.7043921,-73.9565551
Springfield Gardens North,40.6715916,-73.779798
Springfield Gardens South,40.6715916,-73.779798
Spuyten Duyvil/Kingsbridge,40.8787051,-73.9051408
Stapleton,40.6264929,-74.0776414
Starrett City,40.6484272,-73.8823612
Steinway,40.7745459,-73.9037477
Stuy Town/Peter Cooper Village,40.7316903,-73.9778494
Stuyvesant Heights,40.6824166,-73.9319933
Sunnyside,40.7432759,-73.9196324
Sunset Park East,40.65272,-74.0093348
Sunset Park West,40.65272,-74.0093348
Sutton Place/Turtle Bay North,40.7576281,-73.961698
Times Sq/Theatre District,40.7592262,-73.9846269
TriBeCa/Civic Center,40.7153802,-74.0093063
Two Bridges/Seward Park,40.7112884,-73.9922333
UN/Turtle Bay South,40.7127281,-74.0060152
Union Sq,40.7358633,-73.9910835
University Heights/Morris Heights,40.8618406,-73.9135154
Upper East Side North,40.7735649,-73.9565551
Upper East Side South,40.7735649,-73.9565551
Upper West Side North,40.7870106,-73.9753676
Upper West Side South,40.7870106,-73.9753676
Van Cortlandt Park,40.887462,-73.8942012
Van Cortlandt Village,40.8837203,-73.893139
Van Nest/Morris Park,40.8415796,-73.8706949
Washington Heights North,40.852476,-73.9342996
Washington Heights South,40.8417082,-73.9393554
West Brighton,40.6270298,-74.1093141
West Chelsea/Hudson Yards,40.754247,-74.0022078
West Concourse,40.821916,-73.9242364
West Farms/Bronx River,40.8430609,-73.8816001
West Village,40.73468,-74.0047554
Westchester Village/Unionport,43.0930609,-77.802386
Westerleigh,40.616296,-74.1386767
Whitestone,40.7920449,-73.8095574
Willets Point,40.759744,-73.8455118
Williamsbridge/Olinville,40.8803912,-73.8668996
Williamsburg (North Side),40.7081156,-73.9570696
Williamsburg (South Side),40.7081156,-73.9570696
Windsor Terrace,40.6539346,-73.9756567
Woodhaven,40.6901366,-73.8566087
Woodlawn/Wakefield,40.8862717,-73.8785813
Woodside,40.7532952,-73.9068973
World Trade Center,40.7119004,-74.012527
Yorkville East,40.7705621,-73.9508365
Yorkville West,40.7762231,-73.9492079
None,00.0000000,-00.0000000
